"cellID"	"sp"	"n"	"dbh"	"Area"	"XCenter"	"YCenter"	"Dg"	"BA"	"Gini"	"NHA"	"Compo"	"Cluster"	"Ncells"
"31"	1253302	"Abies alba"	1	35.0609457934762	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"32"	1253302	"Abies alba"	1	59.6312148928413	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"33"	1253302	"Abies alba"	1	62.6679897253471	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"34"	1253302	"Abies alba"	1	46.3798338055433	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"35"	1253302	"Abies alba"	1	51.6251721525987	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"36"	1253302	"Abies alba"	1	57.1465809389729	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"37"	1253302	"Abies alba"	1	55.7662287423794	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"38"	1253302	"Abies alba"	1	56.0422991816981	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"39"	1253302	"Abies alba"	1	41.4105658978065	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"40"	1253302	"Abies alba"	1	41.1344954584878	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"41"	1253302	"Abies alba"	1	48.0362564414555	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"42"	1253302	"Abies alba"	1	37.2695093080258	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"43"	1253302	"Abies alba"	1	53.3751281088315	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"44"	1253302	"Abies alba"	1	36.165227550751	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"45"	1253302	"Fagus sylvatica"	2	41.0534200340017	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"46"	1253302	"Fagus sylvatica"	2	35.6986261165232	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"47"	1253302	"Fagus sylvatica"	4	26.5045028581221	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"48"	1253302	"Fagus sylvatica"	4	18.9328585279952	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"49"	1253302	"Fagus sylvatica"	4	12.3070540057617	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"50"	1253302	"Sorbus aria"	4	15.6196082855961	1	951217.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"51"	1253303	"Abies alba"	5	15.7748202867856	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"52"	1253303	"Abies alba"	1	53.1459275147347	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"53"	1253303	"Abies alba"	1	42.976027805125	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"54"	1253303	"Abies alba"	2	39.823391014644	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"55"	1253303	"Abies alba"	1	52.1617436718692	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"56"	1253303	"Abies alba"	5	11.005688572176	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"57"	1253303	"Abies alba"	1	48.8811308623177	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"58"	1253303	"Abies alba"	1	40.3515375574837	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"59"	1253303	"Abies alba"	1	46.9127631765868	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"60"	1253303	"Acer pseudoplatanus"	1	67.1111917448241	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"61"	1253303	"Fagus sylvatica"	1	44.9644984690322	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"62"	1253303	"Fagus sylvatica"	2	46.6651858307812	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"63"	1253303	"Fagus sylvatica"	2	42.3150413889287	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"64"	1253303	"Fagus sylvatica"	2	41.9195737123967	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"65"	1253303	"Fagus sylvatica"	1	44.9644984690322	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"66"	1253303	"Picea abies"	1	55.7704177623759	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"67"	1253303	"Picea abies"	1	43.3040890860801	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"68"	1253303	"Sorbus aria"	2	40.3377030062685	1	951242.5	6519837.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"69"	1254990	"Abies alba"	7	10.4752349610119	1	951167.5	6519812.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"70"	1254990	"Abies alba"	7	17.4577375343497	1	951167.5	6519812.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"71"	1254990	"Abies alba"	3	24.8896775391909	1	951167.5	6519812.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
"72"	1254990	"Abies alba"	1	62.4720571082754	1	951167.5	6519812.5	27.8285688122433	44.1578831035255	0.568999463362988	726	"BiAbies albaFagus sylvatica"	1	360
